""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"NAB2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"NAB2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF503"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ZNF503"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"WASHC2A"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"WASHC2A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SLC15A3"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"SLC15A3"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"BCL2L2-PABPN1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"BCL2L2-PABPN1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KCNC3"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"KCNC3"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GRIK5"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GRIK5"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ST6GALNAC3"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ST6GALNAC3"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"DSG2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"DSG2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ADGRA2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GPR124"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KIAA0754"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"KIAA0754"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CCDC88A"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"CCDC88A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CEBPD"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"CEBPD"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GNAQ"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GNAQ"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LYZ"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"LYZ"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ARHGAP24"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ARHGAP24"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GOLIM4"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"GOLIM4"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"MARVELD1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"MARVELD1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CD300C"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"CD300C"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"C19orf38"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"C19orf38"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SIGLEC6"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"SIGLEC6"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KIF13A"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"KIF13A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZFP36"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ZFP36"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SNX29"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"RUNDC2A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"BAHCC1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"BAHCC1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"EME2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"EME2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KLF7"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"KLF7"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SCT"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"SCT"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"UGGT2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"UGGT2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ATP1B1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ATP1B1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KLF10"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"KLF10"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CUX2"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"CUX2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"DOCK4"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"DOCK4"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ERCC5"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"ERCC5"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"FRRS1"	"gene expression"	"negatively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"2"	"208"	"FRRS1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_208.txt"	"hipciof_gene_corr_complete_27317456_208.txt"
